Component,Layer,Dependents,Imports,ImportingFrom,ImportedBy,Risk_Level,Abstraction_Layer,Circular_Deps,Recommendation
semantic_pipeline,Intelligence,0,9,"semantic_world_state, llm_bridge, extraction_logic, selector_engine, config, logging_config, models, transaction_context, error_tracking","job_runner, scraper, semantic_world_state, extraction_logic",MEDIUM,3,1,"DECOUPLE: Reduce semantic_world_state import"
extraction_logic,Intelligence,0,8,"semantic_world_state, selector_engine, selector_discovery, semantic_pipeline, content_evaluator, extractor_policy, config, logging_config","scraper, selector_engine, semantic_pipeline, behavior_tracker, anti_bot_engine, selector_quality_model, content_evaluator, anti_bot_engine",MEDIUM,3,2,"SIMPLIFY: Extract selector routing"
job_runner,Intelligence,0,9,"semantic_world_state, config, models, transaction_context, logging_config, error_tracking, retry_logic, scraper, benchmark_accuracy","main, semantic_world_state",MEDIUM,3,0,"AUDIT: Verify all dependencies needed"
selector_engine,Extract,0,6,"semantic_world_state, selector_memory, selector_discovery, extraction_logic, config, logging_config","scraper, extraction_logic, semantic_pipeline, selector_discovery, behavior_tracker, content_evaluator",MEDIUM,2,1,"ISOLATE: Extract selector execution"
behavior_tracker,Intelligence,0,5,"semantic_world_state, models, transaction_context, logging_config, anti_bot_engine","anti_bot_engine, semantic_world_state, event_dispatcher, scraper, extraction_logic",HIGH,3,1,"DECOUPLE: Reduce circular with anti_bot_engine"
anti_bot_engine,Intelligence,0,6,"config, semantic_world_state, behavior_tracker, recovery_handlers, models, logging_config","domain_health_alerts, extraction_logic, behavior_tracker, scraper, recovery_handlers, failure_classification",HIGH,3,1,"DECOUPLE: Separate bot detection from recovery"
browser_pool,Fetch,0,3,"config, logging_config, models","scraper, fetch_worker, proxy_manager",LOW,1,0,"KEEP: Clean Fetch layer"
proxy_manager,Fetch,0,3,"config, logging_config, models","browser_pool, fetch_worker, scraper",LOW,1,0,"KEEP: Clean Fetch layer"
rate_limiter,Fetch,0,2,"config, logging_config","browser_pool, fetch_worker",LOW,1,0,"KEEP: Clean Fetch layer"
crawl_frontier,Crawl,0,4,"config, models, logging_config, url_utils","scraper, semantic_world_state, discovery, crawl_policy",LOW,1,0,"KEEP: Clean Crawl layer"
crawl_policy,Crawl,0,3,"config, models, logging_config","crawl_frontier, discovery, semantic_world_state",LOW,1,0,"KEEP: Clean Crawl layer"
discovery,Crawl,0,4,"config, models, logging_config, url_utils","scraper, semantic_world_state, crawl_frontier, crawl_policy",LOW,1,0,"KEEP: Clean Crawl layer"
seedlist_manager,Crawl,0,2,"config, logging_config","discovery, crawl_frontier",LOW,1,0,"KEEP: Clean Crawl layer"
gossip_substrate,Distributed,0,2,"config, models","heartbeat_manager, distributed_state_store",LOW,1,0,"KEEP: Isolated"
heartbeat_manager,Distributed,0,2,"config, logging_config","gossip_substrate, distributed_state_store",LOW,1,0,"KEEP: Isolated"
transactional_priority_queue,Distributed,0,0,"(none)","persistent_queue, memory_pool",LOW,1,0,"EXTRACT: Separate library candidate"
selector_discovery,Extract,0,4,"semantic_world_state, selector_memory, html_utils, logging_config","scraper, extraction_logic, selector_engine, selector_quality_model",MEDIUM,2,1,"SIMPLIFY: Reduce semantic_world_state import"
selector_ml_optimizer,ML,0,0,"(none)","selector_quality_model, domain_evolution_model",LOW,1,0,"EXTRACT: Separate library candidate"
strategy_evolution,ML,0,2,"models, transaction_context","selector_engine, domain_evolution_model",LOW,2,0,"KEEP: Well-isolated"
domain_evolution_model,ML,0,3,"models, selector_ml_optimizer, strategy_evolution","selector_quality_model, behavior_tracker",LOW,2,0,"KEEP: Well-isolated"
selector_decay_predictor,ML,0,2,"models, trend_analyzer","selector_quality_model, selector_memory",LOW,2,0,"KEEP: Well-isolated"
self_tuning_extraction,ML,0,3,"models, domain_evolution_model, extraction_logic","extraction_logic, selector_engine",LOW,2,0,"KEEP: Well-isolated"
extractor_policy,Intelligence,0,4,"semantic_world_state, extraction_logic, models, config","extraction_logic, behavior_tracker, selector_engine, content_evaluator",MEDIUM,3,1,"SIMPLIFY: Extract policy decision logic"
content_evaluator,Intelligence,0,4,"extraction_logic, selector_engine, html_utils, logging_config","scraper, extractor_policy, selector_engine, cleaning_engine",LOW,2,0,"KEEP: Clean utility"
domain_health_alerts,Intelligence,0,4,"config, semantic_world_state, anti_bot_engine, models","recovery_handlers, failure_classification, anomaly_detector, behavior_tracker",MEDIUM,3,0,"AUDIT: Verify semantic_world_state dependency"
recovery_handlers,Intelligence,0,3,"anti_bot_engine, models, logging_config","domain_health_alerts, failure_classification, scraper",LOW,3,0,"KEEP: Isolated"
failure_classification,Intelligence,0,3,"models, logging_config, config","domain_health_alerts, recovery_handlers, recovery_strategies",LOW,3,0,"KEEP: Isolated"
recovery_strategies,Intelligence,0,2,"models, logging_config","failure_classification, recovery_handlers",LOW,3,0,"KEEP: Isolated"
scraper_recovery_integration,Intelligence,0,2,"recovery_handlers, scraper","semantic_world_state, job_runner",LOW,3,0,"KEEP: Recovery integration"
dom_analyzer,Extract,0,2,"html_utils, logging_config","selector_discovery, selector_engine",LOW,2,0,"KEEP: Clean utility"
xpath_builder,Extract,0,1,"logging_config","selector_engine, selector_discovery",LOW,2,0,"KEEP: Clean utility"
css_builder,Extract,0,1,"logging_config","selector_engine, selector_discovery",LOW,2,0,"KEEP: Clean utility"
cleaning_engine,Extract,0,2,"html_utils, logging_config","content_evaluator, extraction_logic",LOW,2,0,"KEEP: Clean utility"
selector_cache,Extract,0,2,"config, logging_config","selector_memory, selector_discovery",LOW,2,0,"KEEP: Isolated utility"
selector_validator,Extract,0,1,"logging_config","selector_engine, selector_discovery",LOW,2,0,"KEEP: Isolated utility"
selector_quality_model,Extract,0,4,"models, selector_decay_predictor, domain_evolution_model, selector_ml_optimizer","extraction_logic, selector_engine, selector_discovery",MEDIUM,2,0,"MONITOR: Growing dependency point"
world_snapshot,Memory,0,3,"models, transaction_context, logging_config","semantic_world_state, behavior_tracker, state_manager",LOW,2,0,"KEEP: State snapshot utility"
state_manager,Memory,0,3,"config, models, logging_config","semantic_world_state, distributed_state_store, memory_pool",LOW,2,0,"KEEP: State management"
cache_manager,Memory,0,2,"config, logging_config","selector_memory, world_snapshot",LOW,2,0,"KEEP: Cache utility"
checkpoint_manager,Memory,0,2,"config, logging_config","state_manager, distributed_state_store",LOW,2,0,"KEEP: Checkpoint utility"
memory_pool,Memory,0,2,"models, config","transaction_context, persistent_queue",LOW,2,0,"KEEP: Memory management"
distributed_state_store,Memory,0,3,"models, transaction_context, gossip_substrate","state_manager, topology_state, heartbeat_manager",LOW,2,0,"KEEP: Distributed state"
persistent_queue,Memory,0,2,"models, transaction_context","memory_pool, transactional_priority_queue",LOW,2,0,"KEEP: Persistence"
abstraction_state,Memory,0,2,"models, logging_config","state_manager, action_state",LOW,2,0,"KEEP: Abstraction layer"
action_state,Memory,0,2,"models, abstraction_state","state_manager, extraction_logic",LOW,2,0,"KEEP: Action state"
state_serializer,Memory,0,2,"json_utils, logging_config","state_manager, distributed_state_store",LOW,2,0,"KEEP: Serialization"
graph_state,Memory,0,2,"models, logging_config","topology_state, graph_update_scheduler",LOW,2,0,"KEEP: Graph state"
in_memory_cache,Memory,0,2,"config, logging_config","cache_manager, selector_cache",LOW,2,0,"KEEP: Caching"
vector_db,Memory,0,2,"models, logging_config","selector_memory, world_snapshot",LOW,2,0,"KEEP: Vector storage"
observability,Telemetry,0,3,"config, logging_config, models","scrape_telemetry, metrics_collector, event_emitter",LOW,1,0,"KEEP: Clean telemetry"
scrape_telemetry,Telemetry,0,3,"config, models, logging_config","semantic_world_state, scraper, job_runner",LOW,1,0,"KEEP: Metrics collection"
event_emitter,Telemetry,0,2,"models, logging_config","event_dispatcher, observability",LOW,1,0,"KEEP: Event publication"
metrics_collector,Telemetry,0,2,"config, logging_config","observability, scrape_telemetry",LOW,1,0,"KEEP: Metrics aggregation"
health_monitor,Telemetry,0,2,"config, logging_config","observability, metrics_collector",LOW,1,0,"KEEP: Health monitoring"
trend_analyzer,Intelligence,0,0,"(none)","domain_evolution_model, selector_decay_predictor",LOW,1,0,"EXTRACT: Separate library candidate"
error_tracking,Utility,0,2,"config, logging_config","semantic_world_state, job_runner, scraper",LOW,0,0,"KEEP: Error utility"
logging_config,Utility,0,1,"config","(40+ modules)","LOW,0,0,"KEEP: Logging foundation"
core_types,Utility,0,0,"(none)","models, config, (20+ modules)","LOW,0,0,"KEEP: Type foundation"
env,Utility,0,1,"config","logging_config, main","LOW,0,0,"KEEP: Environment utility"
async_utils,Utility,0,1,"logging_config","fetch_worker, scraper, state_manager","LOW,0,0,"KEEP: Async utility"
data_utils,Utility,0,1,"logging_config","state_serializer, json_utils, (10+ modules)","LOW,0,0,"KEEP: Data utility"
url_utils,Utility,0,1,"logging_config","crawl_frontier, discovery, seedlist_manager","LOW,0,0,"KEEP: URL utility"
request_utils,Utility,0,1,"logging_config","browser_pool, proxy_manager, fetch_worker","LOW,0,0,"KEEP: HTTP utility"
retry_logic,Utility,0,1,"config","scraper, fetch_worker, job_runner","LOW,0,0,"KEEP: Retry utility"
html_cleaner,Utility,0,1,"logging_config","cleaning_engine, content_evaluator","LOW,0,0,"KEEP: HTML utility"
benchmark_accuracy,Utility,0,1,"config","scraper, job_runner, metrics_collector","LOW,0,0,"KEEP: Benchmarking"
patch_status,Utility,0,0,"(none)","state_manager, distributed_state_store","LOW,0,0,"KEEP: Status tracking"
snapshot_desync_detector,Utility,0,2,"models, logging_config","world_snapshot, state_manager","LOW,0,0,"KEEP: Desync detection"
export,Utility,0,1,"logging_config","scraper, job_runner, main","LOW,0,0,"KEEP: Export utility"
time_utils,Utility,0,0,"(none)","(15+ modules)","LOW,0,0,"KEEP: Time utility"
format_utils,Utility,0,0,"(none)","(12+ modules)","LOW,0,0,"KEEP: Format utility"
dict_utils,Utility,0,0,"(none)","(10+ modules)","LOW,0,0,"KEEP: Dict utility"
str_utils,Utility,0,0,"(none)","(10+ modules)","LOW,0,0,"KEEP: String utility"
hash_utils,Utility,0,0,"(none)","selector_memory, selector_cache, vector_db","LOW,0,0,"KEEP: Hash utility"
type_utils,Utility,0,0,"(none)","(8+ modules)","LOW,0,0,"KEEP: Type utility"
json_utils,Utility,0,1,"logging_config","state_serializer, (6+ modules)","LOW,0,0,"KEEP: JSON utility"
csv_exporter,Utility,0,1,"logging_config","export, metrics_collector","LOW,0,0,"KEEP: CSV export"
cache_utils,Utility,0,1,"logging_config","cache_manager, in_memory_cache","LOW,0,0,"KEEP: Cache utility"
file_utils,Utility,0,1,"logging_config","export, checkpoint_manager, (5+ modules)","LOW,0,0,"KEEP: File utility"
thread_utils,Utility,0,0,"(none)","memory_pool, persistent_queue, (3+ modules)","LOW,0,0,"KEEP: Threading utility"
resource_utils,Utility,0,0,"(none)","browser_pool, proxy_manager, (2+ modules)","LOW,0,0,"KEEP: Resource utility"
main,Utility,0,14,"config, env, logging_config, job_runner, models, error_tracking, export, benchmark_accuracy, (others)","(entry point)","MEDIUM,0,0,"AUDIT: Verify all job_runner dependencies needed"
fetch_worker,Fetch,0,4,"browser_pool, proxy_manager, rate_limiter, logging_config","scraper, job_runner, discovery, (async worker)","LOW,1,0,"KEEP: Clean Fetch layer"
crawler_state,Memory,0,2,"models, logging_config","crawl_frontier, state_manager","LOW,2,0,"KEEP: Crawler state"
llm_router,Intelligence,0,2,"llm_bridge, models","semantic_pipeline, extraction_logic","LOW,3,0,"KEEP: LLM routing"
policy_engine,Intelligence,0,3,"llm_bridge, models, config","semantic_pipeline, extractor_policy, behavior_tracker","LOW,3,0,"KEEP: Policy engine"
strategy_selector,Intelligence,0,2,"llm_bridge, models","extraction_logic, extractor_policy","LOW,3,0,"KEEP: Strategy selection"
anomaly_detector,Intelligence,0,2,"models, logging_config","domain_health_alerts, graph_update_scheduler","LOW,3,0,"KEEP: Anomaly detection"
