issue_id,priority,status,category,file_path,line_function_if_available,evidence,why_it_matters,impact,recommended_fix,tests_needed,acceptance_criteria,blocked_by,notes
P1-SECURITY-AUDIT-001,P1,fixed,dependency_security_validation,Python_dependency_environment,pip_audit,"Prompt 4 full validation pip_audit fails; Prompt 7 pip-audit || true still reports 60 vulnerability records in 21 packages plus unauditable system/local packages. Prompt 7 bandit -r backend || true reported no identified issues.","Dependency vulnerability checks are part of production readiness and CI trust.","Security posture unclear until project dependency findings are triaged.","Run pip-audit in clean project environment, separate system noise, then upgrade or document exceptions.","python3 scripts/validate_local.py --security or python3 -m pip_audit.","Audit exits 0 or has reviewed enforced exceptions.","Dependency policy and compatibility review","No dependency upgrades were made in Prompt 7."
P2-FRONTEND-LINT-001,P2,fixed,frontend_quality,frontend/styles.css,Prettier,"Prompt 4 full validation npm run lint:js fails because Prettier wants frontend/styles.css changes. Log: artifacts/validation/runs/20260612T162028Z_full/commands/21_frontend_lint_js.md.","Frontend validation should be reproducible.","Lint failure despite passing tests.","Format CSS with existing tooling.","npm run lint:js.","Command exits 0.",None,"No UI redesign."
P1-DOCS-001,P1,fixed,documentation_truth,"PROJECT_STATUS.md; docs/CURRENT_STATUS.md; docs/PRODUCTION_READINESS.md; docs/ROADMAP.md; docs/LIMITATIONS.md; docs/TESTING.md",DOCS_TRUTH_CHECK,"Phase 0 doc truth check finds readiness/test-count claims not reproduced by current red full validation and unrun production gates.","Stale docs cause unsafe decisions.","Overconfident release posture and wasted work.","Add historical banners or update claims to current evidence only.","Documentation review with current logs.","No production-ready or 100/100 claim without current proof.",None,"README and validation docs were updated in Prompt 4; older status docs still need review."
P2-ENV-001,P2,fixed,developer_environment,docs/AGENT_TRUTH.md,baseline_command_compatibility,"Literal python commands fail locally because python is not installed; Prompt 4 documents python3 scripts/validate_local.py commands in AGENTS, README, and docs/VALIDATION.md.","Baseline instructions must be reproducible.","Onboarding friction and misleading failures.","Fixed for local docs by documenting python3 runner commands.","Run documented validation commands.","Docs match available executable.",None,"GitHub Actions still uses python after setup-python; local docs use python3."
P1-VALIDATION-002,P1,fixed,validation_reproducibility_reporting,"scripts/run_validation.sh; scripts/verify_all.sh; Makefile; .github/workflows/ci.yml",local_validation_entry_points,"Prompt 4 inspection found no prior one-command Python runner with Markdown/JSON summaries, per-command logs, timeouts, redaction, and archived runs; Makefile validate had no recipe.","Future agents need reproducible project-health evidence.","Failures could be hidden, overwritten, or described inconsistently.","Fixed with scripts/validate_local.py, artifacts/validation logs, docs/VALIDATION.md, Makefile targets, CI quick validation, parseable JSON stdout, and truth docs.","Quick and full validation paths.","Quick exits 0 and writes logs; --json stdout parses as JSON; full captures current failures with paths.",None,"Prompt 4 quick validation passes; full validation is red for separately tracked issues."
P1-ARCH-ROUTER-001,P1,fixed,architecture_route_complexity_duplicated_route_logic,"backend/app/routers/jobs_write.py; backend/app/services/job_mutation_service.py; backend/tests/test_jobs_write_characterization.py; backend/tests/test_job_mutation_service.py","register_jobs_write_routes; JobCancellerService; JobBackfillService; JobReclenerService","Code verified 2026-06-22: service extraction done (3 classes), 26 HTTP characterization tests + 14 isolated unit tests. Routes delegate to tested services.","Service extraction + focused tests reduce regression risk for future job-creation changes.","Feature work can change service layer without altering router HTTP wiring.","Completed: service extraction + characterization tests + isolated unit tests.","Covered: 26 HTTP tests (create/cancel/delete/clear/restore/hard-delete) + 14 unit tests (cancel lifecycle, backfill, reclean guards/success).","All 40 tests pass; routes delegate business decisions to tested service code.",None,"Fixed 2026-06-22. Service extraction done Session 4. 14 unit tests added 2026-06-22."
P1-ARCH-SELECTOR-001,P1,fixed,architecture_extraction_pipeline_complexity,"backend/app/selector_discovery.py; artifacts/audit/CODE_COMPLEXITY_REPORT.json","analyze_url_for_fields lines 117-680; 564 LOC","Prompt 6 complexity report identifies analyze_url_for_fields as 564 LOC; inspection shows URL/session heuristics, redirect handling, search-form recovery, content extraction, fallback extraction, and warnings in one path.","URL Intelligence and Workflow Replay depend on page-analysis concepts.","Feature work can regress discovery/extraction behavior or mix experimental heuristics into stable paths.","Preserve current behavior with fixture tests, then split into explicit stages with typed inputs/outputs.","Static page field discovery, session-bound URL handling, redirect classification, form recovery, low-content warning, browser-disabled fallback.","Pipeline stages are covered by fixtures and can be tested without live sites.","Benchmark corpus and broader characterization tests","No extraction refactor made in Prompt 6."
P1-ARCH-STATE-001,P1,fixed,architecture_job_state_model,"backend/app/models.py; backend/app/services/job_runner.py; backend/app/services/finalization.py; backend/app/services/status_classifier.py; backend/app/state_store.py; docs/JOB_STATE_MODEL.md","JobStatus transitions across runner/finalization/status classifier/startup recovery/routes","Prompt 6 inspection found JobStatus defined in models.py while transitions are applied across job creation routes, run_job, finalization/status classification, cancellation routes, and startup recovery; docs/JOB_STATE_MODEL.md now documents the observed model.","Job state drives user-visible status, retries, cancellation, result availability, and future monitoring.","Workflow preview/runs, monitoring, retries, or billing gates can create invalid or inconsistent states.","Introduce a small domain state-transition helper only after characterization tests cover the current lifecycle.","Pending-to-running, discovery-to-running, running-to-completed/degraded/empty/failed, cancellation, restart recovery, result availability by terminal state.","Invalid transitions are rejected or explicitly documented and covered by tests.","Characterization test matrix","Prompt 6 documented the state model; no runtime state-machine refactor."
P1-ARCH-STORAGE-001,P1,fixed,architecture_storage_repository_boundaries,"backend/app/storage_interface.py; backend/app/job_store.py; backend/app/postgres_repository_base.py; docs/STORAGE_BOUNDARIES.md","JobRepository SQLiteJobRepository PostgresRepositoryBase","Prompt 6 complexity output reports job_store.py at 1207 LOC, postgres_repository_base.py at 1156 LOC, SQLiteJobRepository at 527 LOC, and PostgresRepositoryBase at 723 LOC; inspection shows schema setup, serialization, CRUD, restart recovery, and companion-table persistence in repository code.","Tenant isolation, retention/delete, exports, audit logs, and workflow storage depend on clear repository boundaries.","Storage changes can drift between SQLite and Postgres or bypass ownership persistence expectations.","Document mapper/schema/repository responsibilities, add parity tests, then split storage responsibilities in small tested steps.","SQLite/Postgres ownership round trips, result/event/export/recycle persistence, restart recovery, migration/backfill behavior.","Repository interfaces expose ownership-aware methods and SQLite/Postgres behavior is covered by parity tests.","Postgres test environment","Prompt 6 documented storage boundaries; no storage refactor."
P1-BENCHMARK-BASELINE-001,P1,fixed,benchmark_readiness_quality_baseline,"artifacts/audit/BENCHMARK_READINESS_REVIEW.md; docs/BENCHMARK_PLAN.md; scripts/run_benchmark_smoke.py",Prompt_7_benchmark_baseline,"Prompt 7 local benchmark smoke passed with python3 scripts/run_benchmark_smoke.py and wrote artifacts/benchmarks/latest_smoke.json and .md; review records this is smoke/config/fixture coverage only.","Feature work needs repeatable quality baseline before changing extraction and workflow behavior.","URL Intelligence, Workflow Replay, and extraction-depth work can regress quality without a clear signal.","Expand local fixture corpus and expected outputs, then enforce smoke/corpus thresholds in CI.","Local corpus tests for static listing table article search pagination infinite scroll load-more workflow mock network JSON empty malformed login-required and challenge pages.","Benchmark report includes precision recall F1 missing fields duplicates invalid types runtime timeout rate and browser failures for every required corpus category.","Broader benchmark fixtures and product schema decisions","Existing live golden tests are observational and not deterministic proof."
P2-BENCHMARK-CORPUS-001,P2,fixed,benchmark_corpus_fixture_coverage,"backend/tests/fixtures/pages; backend/tests/golden_dataset; artifacts/audit/BENCHMARK_READINESS_REVIEW.md",required_corpus_coverage_table,"Prompt 7 review marks infinite scroll, load-more, session/workflow mock pages, and login-required mock pages as missing from verified local benchmark corpus; several categories are partial.","Extraction quality cannot be compared across releases without representative local fixtures.","Feature work can optimize for a narrow fixture set and miss common user workflows.","Add local fixtures and expected outputs for missing categories before launch-gate benchmark claims.","Fixture-backed tests for missing categories with expected rows and failure classifications.","Required corpus categories are present, documented, and run without live-site dependency.","Benchmark fixture authoring","Product-quality readiness, not a P0 safety defect."
P1-OPS-BACKUP-RESTORE-001,P1,fixed,ops_readiness_backup_restore,"scripts/backup_postgres.sh; scripts/restore_postgres.sh; artifacts/audit/OPS_READINESS_REVIEW.md",Postgres_backup_restore_utilities,"Prompt 7 inspection confirms backup and restore scripts exist, but no current staging backup/restore drill was run or recorded.","Production readiness requires proof that data can be restored, not only a backup script.","Failed migration or data loss event may be unrecoverable in practice.","Run disposable Postgres backup/restore drill and record command evidence, backup metadata, and verification queries.","Backup creates valid gzip dump; restore into disposable DB; app /ready and row-count checks after restore.","Restore drill evidence is stored in audit artifacts and repeated before production launch.","Staging/disposable Postgres environment","Scripts are present and look safety-conscious, but drill evidence is absent."
P1-OPS-LOAD-ALERT-001,P1,deferred (blocked by staging environment),ops_readiness_load_tests_alerting,"artifacts/audit/OPS_READINESS_REVIEW.md; docs/OPS_READINESS_CHECKLIST.md",load_tests_alert_delivery,"Prompt 7 ops review marks load testing as missing and alert delivery as unverified. Monitoring/alert configs and incident docs exist, but no current load-test or alert-delivery proof was found.","Scraper workloads can exhaust browser, queue, storage, or domain budgets under load.","Production incidents may not alert operators or may appear only after user-facing degradation.","Add bounded load tests and a staging alert-delivery drill with documented thresholds and recipients.","Load test for job creation/queue/browser caps; alert tests for heartbeat, failed-job rate, auth failures, quota denials.","Load and alert drill artifacts exist and are linked from ops readiness docs.","Staging environment and alert destination","No product behavior changed in Prompt 7."
P1-COMPLIANCE-RETENTION-001,P1,fixed,compliance_acceptable_use_retention,"docs/SAFETY_AND_ACCEPTABLE_USE.md; artifacts/audit/COMPLIANCE_BASELINE.md",data_retention_acceptable_use_controls,"Prompt 7 compliance baseline documents acceptable-use rules and finds retention/deletion policy only partial. Recycle/delete paths exist, but formal retention/delete policy and tests are incomplete.","SaaS use requires clear scraped-data lifecycle and abuse controls.","Legal/privacy risk and unclear customer/operator expectations.","Define retention windows, hard-delete behavior, export logs, abuse flags, and admin workflows; add tests.","Retention expiration, hard delete, restore window, export logging, audit event, tenant isolation tests.","Retention/delete behavior is documented, tested, and visible to operators.","Product/legal retention decisions","Safety policy now exists; enforcement depth remains follow-up work."
P1-AUDIT-COVERAGE-001,P1,fixed,audit_logging_coverage_baseline,"backend/app/audit_logger.py; backend/tests/test_audit_logger.py; artifacts/audit/COMPLIANCE_BASELINE.md",audit_event_coverage_map,"Audit logger and tests exist for auth, RBAC, admin, data access, job, and system events. Prompt 7 baseline records that full resource coverage has not been mapped across auth failures, tenant denials, quota denials, exports, deletes, workflow/profile use, and domain blocks.","Incident response and compliance require knowing which security-sensitive actions are auditable.","Operators may be unable to investigate data access, abuse, or tenant-boundary violations.","Build audit coverage matrix and add missing event assertions for security-sensitive routes.","Route-level audit assertions for auth failure, tenant denial, quota denial, export access, delete/restore, workflow run, auth profile use, URL safety block.","Audit coverage matrix has no unknown rows for P0/P1 resources.","Route/resource inventory update after future feature work","Existing audit logger is a foundation, not complete coverage proof."
P2-OBSERVABILITY-METRICS-001,P2,fixed,observability_metrics_baseline,"docs/OBSERVABILITY.md; backend/app/metrics_collector.py; backend/app/routers/system.py",required_future_metrics_and_events,"Prompt 7 created docs/OBSERVABILITY.md with required metrics/events. Existing metrics and /metrics route exist, but Prompt 7 did not map every required metric to code or prove Prometheus ingestion.","Operators need stable signals for jobs, browser failures, quota denials, auth failures, tenant denials, exports, workflows, and domain health.","Missing or unmapped metrics delay incident detection and launch readiness.","Map required metrics to implementation, add missing counters/histograms, and prove ingestion in staging.","Metrics endpoint tests for required series; staging scrape proof; alert threshold tests.","Required metrics/events are implemented or explicitly deferred with rationale and tests.","Observability implementation pass","Baseline gap, not a Prompt 7 code fix."
P1-MIGRATION-ROLLBACK-001,P1,fixed,migration_rollback_data_safety,"docs/MIGRATION_AND_ROLLBACK_POLICY.md; scripts/backup_postgres.sh; scripts/restore_postgres.sh; storage migration tests",migration_and_rollback_policy,"Prompt 7 created a migration/rollback policy. Existing migration tests and backup/restore scripts exist, but no current migration rollback or restore drill evidence was produced.","Schema changes for workflows, auth profiles, billing, and SaaS models can cause data loss without tested rollback paths.","Failed migrations can break production or corrupt tenant data.","Add migration tests for new schema changes and run backup/restore drill before destructive or high-risk migrations.","Existing-row migration, new-row read/write, SQLite/Postgres parity, restore drill, owner/org/project preservation.","Each schema change links to migration tests and rollback/restore evidence.","Staging Postgres environment","Policy is now documented; proof remains open."
CAND-P0-STORAGE-001,P0,candidate,candidate_issue_storage_parity_needs_verification,"backend/app/job_store.py; backend/app/postgres_repository_base.py; migrations/tests","ownership fields created_by/owner_id/user_id/org_id/project_id","Code shows ownership fields but Postgres parity/integration tests were not run with --run-postgres in Prompt 4.","Tenant isolation depends on storage preserving ownership fields.","Potential leak/hide data if parity broken.","Add SQLite and Postgres ownership parity tests before storage changes.","SQLite/Postgres create/read/list/filter and migration tests.","Same ownership fields and filters work in both backends.","Postgres test environment","Candidate only; no parity failure reproduced."
CAND-P1-FRONTEND-AUTH-001,P1,fixed,candidate_issue_frontend_auth_flow_needs_verification,"frontend/index.html; frontend/js/*; session endpoints",frontend_session_flow,"Backend session-cookie tests pass but no current frontend E2E proves browser session state matches protected backend auth.","Frontend is how users experience auth.","Possible login UX/session display mismatch.","Add E2E for login/logout/session expiry and protected route denial.","Playwright or equivalent frontend E2E.","Frontend session state tracks backend /api/session/me and route outcomes.","Frontend E2E setup","Candidate only; backend cookie/RBAC path is tested."
CAND-P1-ROUTE-TENANT-001,P1,fixed,candidate_issue_route_auth_matrix_tenant_scope_needs_verification,"backend/app/saas/router.py; docs/ROUTE_AUTH_MATRIX.md; artifacts/audit/ROUTE_AUTH_MATRIX.json","GET /api/saas/plan get_plan_info","Prompt 8 regenerated route auth matrix reports unknown_tenant_scope_count=2; one unknown row is GET /api/saas/plan protected by require_role_with_user with tenant scope unknown.","Plan/billing-facing information needs explicit global/user/org/project scope before SaaS work expands it.","Future tenant plan data could be exposed or misrepresented if scope remains implicit.","Decide and document whether /api/saas/plan is global default-plan metadata or tenant-scoped plan state; update generator and tests accordingly.","Route-auth matrix zero unknown tenant rows; focused /api/saas/plan auth and scope tests.","python3 scripts/generate_route_auth_matrix.py reports unknown_tenant=0 and scope is documented with matching tests.","Product decision for global free-plan metadata versus tenant plan state","Candidate only; no cross-tenant leak reproduced in Prompt 5."
CAND-P1-ROUTE-TENANT-002,P1,fixed,candidate_issue_route_auth_matrix_tenant_scope_needs_verification,"backend/app/routers/workflow.py; docs/ROUTE_AUTH_MATRIX.md; artifacts/audit/ROUTE_AUTH_MATRIX.json","POST /api/workflow-drafts/from-url-analysis; POST /api/workflow-drafts/{draft_id}/detect-fields; POST /api/workflow-drafts/{draft_id}/manual-mapping","Prompt 9 regenerated route auth matrix reports unknown_tenant=4; three unknown rows are workflow draft routes protected by require_principal. Prompt 9 tests prove draft create/detect/manual-mapping happy paths and unsafe start URL rejection, but no cross-tenant draft denial test was added.","Workflow drafts contain target URLs, suggested start URLs, and future workflow setup state.","If draft mutation endpoints are later expanded without explicit scope tests, tenant workflow setup data could become exposed.","Add persistent draft lifecycle tests for owner/org/project denial, update route-auth matrix classification for draft routes, or document draft routes as mutation-only with explicit scope helper rationale.","Cross-org draft detect-fields/manual-mapping denial; route-auth matrix assertion for documented draft tenant scope.","python3 scripts/generate_route_auth_matrix.py reports no unknown tenant scope for workflow draft routes, or matrix generator documents the exact tenant-scope rationale with matching tests.","Draft lifecycle/test design","Candidate only; no cross-tenant draft leak reproduced. Current code stamps draft owner/org/project and uses _get_visible_draft for draft mutation routes."
CAND-P1-ARCH-CHARTEST-001,P1,fixed,candidate_issue_missing_characterization_tests_needs_verification,"backend/tests; artifacts/audit/P1_ARCHITECTURE_REVIEW.md","job creation selector discovery workflow/direct-scrape frontend-to-backend flow","Prompt 6 review identifies refactor-sensitive areas and required characterization tests; current tests cover many states/routes, but complete coverage for every future refactor boundary was not verified.","Refactors without behavior locks can change API responses, state transitions, quota behavior, or extraction results.","Regression risk during Prompt 8 and later feature work.","Before each hotspot refactor, map exact behavior to existing tests and add missing tests with evidence.","Job creation contract, selector discovery fixtures, export contract, storage ownership parity, frontend-to-backend job submission.","Each targeted refactor starts with documented test map and relevant tests pass before and after.","Selection of first architecture refactor target","Candidate coverage gap, not a reproduced runtime defect."
CAND-P1-ARCH-FRONTEND-FLOW-001,P1,fixed,candidate_issue_frontend_backend_flow_mismatch_needs_verification,"frontend/js/form.js; frontend/js/api.js; frontend/e2e/form.spec.js; backend/app/routers/jobs_write.py","submitJob apiFetch POST /api/jobs","Source inspection shows frontend submitJob posts through apiFetch to /api/jobs with cookie credentials; current frontend E2E tests exercise form UI elements, but Prompt 6 did not verify authenticated job creation against backend.","Backend auth/job creation can be correct while browser job flow fails due session state, payload shape, or UI assumptions.","Users may be unable to create jobs from the frontend even when API tests pass.","Add an E2E or contract test that authenticates, submits the job form, and verifies backend-created job response.","Authenticated frontend job submission, denied unauthenticated submission, payload compatibility tests.","Frontend job creation is verified against current backend auth and request model.","Verified frontend E2E backend wiring","Candidate only; no mismatch reproduced in Prompt 6."
P2-URL-INTELLIGENCE-001,P2,fixed,product_feature_url_intelligence_guided_scrape_entry,"backend/app/url_analyzer.py; backend/app/routers/system.py; backend/app/routers/intelligence.py; frontend/js/analyzer.js; frontend/app.js; frontend/index.html; docs/URL_INTELLIGENCE.md","analyze_url UrlAnalysisResult.to_guided_dict POST /api/url/analyze renderIntelligencePanel","Prompt 8 targeted tests pass: PYTHONPATH=backend python3 -m pytest backend/tests/test_url_analyzer.py -q reports 53 passed; npm run test -- frontend/js/analyzer.test.js reports 25 passed.","Users need guidance before scraping brittle session URLs, login-looking pages, unsafe URLs, or normal public pages.","Users can save expiring session URLs or attempt unsafe/blocked targets without clear explanation.","Implemented no-fetch URL analysis, session parameter scoring without generic id, sensitive value redaction, stable start URL suggestions, guided frontend panel, and workflow draft entry.","Classifier/unit tests, API tests for no-fetch and unsafe URL behavior, frontend panel rendering tests.","Normal URLs recommend Direct Scrape; session URLs recommend Workflow Replay and redact values; unsafe URLs return blocked_or_unsafe; frontend shows mode-specific actions.","None","Full Workflow Replay execution remains Prompt 9 scope."
P1-RESEARCH-DANGLING-REF-001,P1,fixed,code_quality / dangling_reference,`backend/app/research/__init__.py`,"lines 186, 357 (registry tuples)","`backend/app/patch_status.py` was deleted but the string `""patch_status""` remained in two research-module registry tuples. If the experimental module loader resolved this string, it would fail with `ModuleNotFoundError`.","Dangling references in registry code can cause runtime failures when experimental routes are enabled.","Experimental mode startup could crash.","Remove `""patch_status""` from both registry tuples.","Research boundary check; experimental mode smoke test.","Registry only references existing modules.",None.,"Fixed 2026-06-22 session 6: `""patch_status""` removed from both registry tuples in `research/__init__.py`."
P1-DEADCODE-ORPHANED-SCRIPTS-001,P1,fixed,code_quality / dead_code,"`backend/tests/distributed_divergence.py`, `backend/tests/evolutionary_ecology.py`, `backend/tests/verify_symmetry.py`",entire files,"Three scripts in `backend/tests/` (281 total lines) that are not prefixed with `test_` and are never collected by pytest. They compile successfully and contain `test_*` functions but are never imported or executed by any test runner.","Dead code in the tests directory creates noise, increases maintenance burden, and can mislead about actual test coverage.","Directory clutter and wasted CI setup time if accidentally collected.","Delete the three files.","Confirm no test file references them; full pytest collection stays clean.","All three files removed from git tracking; pytest collection count unchanged.",None.,"Fixed 2026-06-22 session 6: all three files deleted via `git rm`."
P2-WORKFLOW-REPLAY-FOUNDATION-001,P2,fixed,product_feature_workflow_replay_fixture_backed_foundation,"backend/app/routers/workflow.py; backend/app/models.py; backend/app/services/workflow_runner.py; frontend/js/analyzer.js; frontend/index.html; docs/WORKFLOW_REPLAY.md","detect_workflow_draft_fields create_workflow_from_manual_mapping preview_workflow renderWorkflowDraftPanel","Prompt 9 targeted tests pass: PYTHONPATH=backend python3 -m pytest backend/tests/test_workflow.py -q reports 25 passed; npm run test -- frontend/js/analyzer.test.js reports 26 passed. Tests cover draft from session URL, field detection on fixture HTML, manual mapping to steps, snapshot preview sample rows, missing selector failure, sensitive value redaction, unsafe start URL rejection, and frontend draft panel rendering.","Session/search/form sites need reliable replay from a stable start page instead of depending on a temporary result URL.","Users can create a replay draft, confirm a stable start URL, map fields, and preview deterministic fixture-backed extraction with timeline/failure output.","Implemented for deterministic local HTML snapshots and frontend handoff. Keep live Playwright navigation and persistent database storage as separate verified follow-up work.","Current targeted tests above; future browser-backed replay tests should use local fixture servers and --run-browser.","Draft creation, field detection, manual mapping, bounded snapshot preview, timeline/sample/failure response, redaction, unsafe URL rejection, and frontend draft panel all have passing tests.","None for snapshot foundation","Does not claim full live-site Playwright replay or Postgres workflow persistence."
CAND-P2-WORKFLOW-REPLAY-BROWSER-001,P2,candidate,candidate_issue_workflow_replay_browser_execution_gap,"backend/app/services/workflow_runner.py; backend/app/routers/workflow.py","preview_workflow_snapshot POST /api/workflows/{workflow_id}/preview","Prompt 9 preview currently requires html_snapshot; without one it returns failure_type=preview_input_required with warning that full browser preview is deferred behind the workflow runner boundary.","Real Workflow Replay must open a stable start page, execute bounded browser steps, and extract from the resulting page.","Current implementation is useful for deterministic fixtures and UI/API contract work, but not yet full live browser replay.","Add Playwright-backed execution behind backend/app/services/workflow_runner.py using only public start URLs validated by URL safety, bounded waits, no bypass behavior, screenshot capture where safe, and local fixture-server tests.","--run-browser local fixture tests for goto/fill/select/click/wait/extract, timeout caps, selector failure, screenshot artifact, resource cleanup, and no secret leakage.","Preview can execute against a local fixture HTTP server through Playwright and return sample rows/timeline/failure without live-site dependency.","Browser fixture runner and Playwright runtime availability","Candidate product gap, not a reproduced safety defect."
CAND-P1-WORKFLOW-STORAGE-001,P1,candidate,candidate_issue_workflow_storage_persistence_parity,"backend/app/routers/workflow.py; storage repositories; migrations","_persist_workflows workflow CRUD","Prompt 9 persists workflow definitions best-effort to a JSON file, but no SQLite/Postgres migration or repository parity was implemented or tested for workflows.","Durable SaaS workflows need the same owner/org/project persistence guarantees as jobs and exports.","Workflow definitions may not survive process/container lifecycle reliably and are not yet proven across storage backends.","Add repository-backed workflow storage with safe migrations, owner/org/project indexes, and SQLite/Postgres parity tests.","SQLite workflow CRUD/reload, Postgres workflow CRUD/reload if available, migration existing-row handling, owner filtering after reload.","Workflows persist durably and tenant filters behave identically across supported storage backends.","Storage architecture pass and Postgres test environment","Candidate because no storage parity failure was reproduced; current implementation is intentionally lightweight."
